iter	Passed	Remaining
592	18277	12544
593	18311	12515
594	18334	12479
595	18357	12443
596	18400	12421
597	18459	12409
598	18510	12392
599	18543	12362
600	18575	12332
601	18619	12310
602	18655	12282
603	18708	12265
604	18750	12242
605	18778	12209
606	18814	12181
607	18849	12152
608	18876	12119
609	18917	12094
610	18950	12064
611	18975	12029
612	18998	11994
613	19023	11959
614	19047	11924
615	19070	11888
616	19100	11856
617	19155	11840
618	19185	11808
619	19209	11773
620	19232	11737
621	19259	11704
622	19285	11670
623	19312	11636
624	19351	11610
625	19394	11587
626	19415	11550
627	19439	11514
628	19463	11479
629	19486	11444
630	19511	11409
631	19536	11375
632	19589	11357
633	19612	11322
634	19640	11289
635	19663	11254
636	19690	11220
637	19718	11188
638	19747	11156
639	19785	11129
640	19822	11101
641	19845	11066
642	19867	11030
643	19893	10997
644	19916	10961
645	19940	10926
646	19965	10893
647	20014	10872
648	20040	10838
649	20069	10806
650	20092	10771
651	20118	10738
652	20145	10705
653	20172	10672
654	20209	10644
655	20242	10615
656	20266	10580
657	20288	10545
658	20310	10509
659	20337	10476
660	20364	10443
661	20398	10414
662	20445	10392
663	20473	10360
664	20500	10327
665	20525	10293
666	20549	10259
667	20574	10225
668	20600	10192
669	20647	10169
670	20679	10139
671	20704	10105
672	20728	10071
673	20752	10037
674	20778	10004
675	20806	9972
676	20841	9943
677	20873	9913
678	20901	9881
679	20925	9847
680	20947	9812
681	20972	9779
682	20995	9744
683	21022	9712
684	21059	9684
685	21103	9659
686	21130	9626
687	21156	9594
688	21182	9561
689	21207	9527
690	21233	9495
691	21266	9465
692	21316	9443
693	21340	9409
694	21362	9374
695	21384	9340
696	21413	9308
697	21441	9276
698	21478	9249
699	21512	9219
700	21536	9185
701	21558	9151
702	21582	9118
703	21605	9084
704	21630	9050
705	21654	9017
706	21696	8991
707	21744	8968
708	21772	8936
709	21806	8906
710	21833	8874
711	21861	8842
712	21886	8810
713	21941	8788
714	21986	8763
715	22010	8730
716	22035	8697
717	22060	8664
718	22083	8630
719	22109	8598
720	22139	8566
721	22188	8543
722	22219	8512
723	22241	8478
724	22263	8444
725	22293	8413
726	22332	8386
727	22361	8354
728	22402	8327
729	22424	8294
730	22449	8261
731	22472	8227
732	22497	8194
733	22520	8161
734	22547	8129
735	22597	8105
736	22624	8073
737	22649	8040
738	22671	8007
739	22694	7973
740	22718	7940
741	22744	7908
742	22766	7874
743	22795	7843
744	22834	7815
745	22863	7784
746	22887	7751
747	22910	7718
748	22933	7685
749	22956	7652
750	22979	7618
751	23004	7586
752	23052	7561
753	23085	7532
754	23108	7498
755	23133	7466
756	23159	7434
757	23182	7401
758	23208	7369
759	23248	7341
760	23285	7313
761	23308	7280
762	23332	7247
763	23357	7215
764	23380	7182
765	23409	7151
766	23445	7122
767	23486	7094
768	23511	7062
769	23534	7029
770	23556	6996
771	23582	6964
772	23604	6931
773	23631	6900
774	23667	6871
775	23693	6839
776	23720	6807
777	23744	6775
778	23771	6743
779	23805	6714
780	23841	6685
781	23874	6655
782	23909	6626
783	23932	6593
784	23956	6561
785	23980	6528
786	24002	6496
787	24026	6464
788	24051	6431
789	24091	6404
790	24128	6375
791	24160	6345
792	24182	6312
793	24203	6279
794	24227	6247
795	24252	6215
796	24281	6184
797	24315	6155
798	24348	6125
799	24372	6093
800	24395	6060
801	24416	6028
802	24448	5997
803	24482	5968
804	24512	5937
805	24548	5908
806	24573	5877
807	24595	5844
808	24619	5812
809	24642	5780
810	24667	5748
811	24698	5718
812	24751	5693
813	24779	5662
814	24801	5629
815	24824	5597
816	24850	5566
817	24874	5534
818	24899	5502
819	24936	5473
820	24964	5443
821	24991	5411
822	25015	5379
823	25037	5347
824	25065	5317
825	25090	5285
826	25114	5253
827	25143	5222
828	25187	5195
829	25216	5164
830	25242	5133
831	25265	5101
832	25289	5070
833	25314	5038
834	25351	5009
835	25382	4979
836	25416	4949
837	25440	4918
838	25462	4886
839	25488	4854
840	25512	4823
841	25539	4792
842	25576	4763
843	25611	4733
844	25634	4702
845	25658	4670
846	25679	4638
847	25702	4607
848	25728	4575
849	25755	4545
850	25789	4515
851	25834	4487
852	25859	4456
853	25880	4424
854	25904	4393
855	25927	4361
856	25951	4330
857	25979	4299
858	26026	4272
859	26059	4242
860	26085	4211
861	26107	4179
862	26133	4148
863	26158	4117
864	26181	4086
865	26209	4055
866	26247	4026
867	26273	3995
868	26300	3964
869	26326	3933
870	26348	3902
871	26373	3871
872	26400	3840
873	26442	3812
874	26478	3782
875	26501	3751
876	26523	3719
877	26546	3688
878	26569	3657
879	26593	3626
880	26619	3595
881	26659	3566
882	26699	3537
883	26726	3507
884	26748	3475
885	26776	3445
886	26803	3414
887	26841	3385
888	26871	3355
889	26906	3325
890	26927	3294
891	26953	3263
892	26975	3232
893	27000	3201
894	27022	3170
895	27057	3140
896	27113	3113
897	27143	3083
898	27166	3052
899	27196	3021
900	27231	2992
901	27260	2961
902	27295	2932
903	27324	2901
904	27345	2870
905	27368	2839
906	27397	2809
907	27431	2779
908	27468	2749
909	27498	2719
910	27521	2688
911	27543	2657
912	27566	2626
913	27591	2596
914	27619	2565
915	27658	2536
916	27690	2506
917	27715	2475
918	27737	2444
919	27759	2413
920	27783	2383
921	27809	2352
922	27835	2322
923	27877	2292
924	27919	2263
925	27945	2233
926	27969	2202
927	27991	2171
928	28014	2141
929	28044	2110
930	28081	2081
931	28111	2051
932	28138	2020
933	28164	1990
934	28188	1959
935	28215	1929
936	28241	1898
937	28276	1869
938	28320	1839
939	28344	1809
940	28367	1778
941	28391	1748
942	28414	1717
943	28441	1687
944	28481	1657
945	28510	1627
946	28535	1597
947	28559	1566
948	28581	1535
949	28603	1505
950	28627	1475
951	28655	1444
952	28701	1415
953	28732	1385
954	28760	1355
955	28782	1324
956	28804	1294
957	28828	1263
958	28856	1233
959	28892	1203
960	28930	1174
961	28958	1143
962	28984	1113
963	29005	1083
964	29035	1053
965	29069	1023
966	29099	993
967	29132	963
968	29159	932
969	29179	902
970	29204	872
971	29226	841
972	29251	811
973	29282	781
974	29318	751
975	29348	721
976	29375	691
977	29397	661
978	29420	631
979	29443	600
980	29466	570
981	29494	540
982	29541	510
983	29573	480
984	29598	450
985	29621	420
986	29643	390
987	29665	360
988	29693	330
989	29716	300
990	29746	270
991	29790	240
992	29821	210
993	29843	180
994	29866	150
995	29891	120
996	29913	90
997	29940	60
998	29991	30
999	30032	0
