iter	Logloss
0	0.660931278
1	0.6321123478
2	0.6067947331
3	0.5795764821
4	0.5572373628
5	0.5364364504
6	0.5166755812
7	0.496095666
8	0.4761024043
9	0.457322938
10	0.4424196706
11	0.4273963496
12	0.4118944032
13	0.3976613123
14	0.3860930199
15	0.3747969529
16	0.3632694514
17	0.3542610556
18	0.3455463647
19	0.3359161969
20	0.3277414441
21	0.3196181967
22	0.3123630049
23	0.3061087292
24	0.2994047698
25	0.2936896002
26	0.2882336471
27	0.2835788152
28	0.278169981
29	0.2740903568
30	0.2696248826
31	0.264761079
32	0.2608082396
33	0.2566674542
34	0.2520177149
35	0.2484378429
36	0.2455996451
37	0.2429247119
38	0.2395356094
39	0.236215181
40	0.2338931223
41	0.2312431225
42	0.2280458484
43	0.2254817668
44	0.2226828221
45	0.2199200296
46	0.2175447763
47	0.2153473089
48	0.2134782113
49	0.2112360202
50	0.2088893054
51	0.2072315492
52	0.2051050753
53	0.2031828964
54	0.2010326992
55	0.1992536164
56	0.1966382562
57	0.195224439
58	0.1934982104
59	0.1922354558
60	0.1904564613
61	0.1890355598
62	0.1879196829
63	0.1861448229
64	0.1847644603
65	0.1826514741
66	0.1816686089
67	0.1804483091
68	0.1785525764
69	0.1773309404
70	0.1761442592
71	0.1745213064
72	0.1732663041
73	0.1722793169
74	0.1708098722
75	0.1694876455
76	0.1684032064
77	0.1675716937
78	0.1664631153
79	0.1656401995
80	0.1644773676
81	0.1632763667
82	0.1619966579
83	0.1610003428
84	0.1603030646
85	0.1594468329
86	0.1582867868
87	0.1569323282
88	0.1559266725
89	0.1549873336
90	0.1540395492
91	0.1532749332
92	0.1523422121
93	0.1508444054
94	0.1500488811
95	0.1493979528
96	0.148712196
97	0.1476144204
98	0.1468131102
99	0.1462281963
100	0.1453515691
101	0.1445625617
102	0.1436184958
103	0.1426646986
104	0.1418458292
105	0.1413088534
106	0.1404172258
107	0.1397645329
108	0.1388888889
109	0.1382520913
110	0.1376924637
111	0.1370263964
112	0.1361912913
113	0.1354744622
114	0.1349079395
115	0.1343800648
116	0.1336650005
117	0.1329550162
118	0.1322174009
119	0.1316905473
120	0.1310792125
121	0.13049716
122	0.1298058442
123	0.1294123804
124	0.1288653582
125	0.1284363095
126	0.1276850805
127	0.127351946
128	0.1269518771
129	0.1264443348
130	0.12591854
131	0.1252776205
132	0.1247142491
133	0.1240462028
134	0.1234336579
135	0.1229305779
136	0.1220620308
137	0.1214030351
138	0.1209267542
139	0.1205392402
140	0.1201918743
141	0.1196200321
142	0.1190780016
143	0.1185613204
144	0.1179690702
145	0.1175574799
146	0.1171138721
147	0.1162042314
148	0.115331827
149	0.1148682649
150	0.1144770071
151	0.1142114374
152	0.1137649555
153	0.1130837996
154	0.1125779843
155	0.11231665
156	0.1114675277
157	0.1110508827
158	0.1106941006
159	0.1102739009
160	0.1098100362
161	0.1093895592
162	0.1090176884
163	0.108426497
164	0.1078751512
165	0.1075700888
166	0.1069888557
167	0.1065972827
168	0.1062341979
169	0.1054131351
170	0.1051205143
171	0.104684539
172	0.1043172818
173	0.1040063391
174	0.1036018772
175	0.1032739802
176	0.1029836158
177	0.1025723722
178	0.1020699792
179	0.1016414222
180	0.1013799996
181	0.10112701
182	0.1008217523
183	0.1004848929
184	0.100146231
185	0.09984179264
186	0.09934188925
187	0.0990546698
188	0.09876366245
189	0.09827108907
190	0.09778099265
191	0.09744844433
192	0.09710078218
193	0.09674556311
194	0.09636354505
195	0.09613331445
196	0.0957536851
197	0.09557102082
198	0.09524331926
199	0.09467966426
200	0.09446189405
201	0.09411026121
202	0.09359939115
203	0.09326045191
204	0.09285592698
205	0.09264398675
206	0.09232374126
207	0.09188699072
208	0.09159776703
209	0.09124360051
210	0.09096018788
211	0.09071138958
212	0.09045553857
213	0.09014794887
214	0.08987236417
215	0.08952900675
216	0.08931056215
217	0.08902720625
218	0.08871393153
219	0.08827264936
220	0.08796512898
221	0.08774043843
222	0.0874328046
223	0.0871663651
224	0.08692296188
225	0.08657436064
226	0.08635769339
227	0.08611260106
228	0.08577344123
229	0.08525253731
230	0.08504580939
231	0.08455239776
232	0.08435221833
233	0.08399422609
234	0.08378993101
235	0.08357867147
236	0.08313866875
237	0.08281026759
238	0.08255981798
239	0.08225375983
240	0.08186343483
241	0.08167866546
242	0.08147039339
243	0.08118195122
244	0.08101765925
245	0.08074332249
246	0.08048812696
247	0.08014664144
248	0.07998555123
249	0.07975641729
250	0.07947948382
251	0.07923749871
252	0.07899118996
253	0.07866627419
254	0.07825402847
255	0.0777229016
256	0.07749026967
257	0.07733150515
258	0.07708238541
259	0.07674032634
260	0.07645526872
261	0.07612808398
262	0.07574600289
263	0.07559151159
264	0.07529892226
265	0.07504038001
266	0.07479828146
267	0.07451647601
268	0.07431608859
269	0.07406534276
270	0.07379889695
271	0.07361627679
272	0.07341829699
273	0.07322264919
274	0.07298583228
275	0.07288636338
